,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,WHITE_ELO,BLACK_ELO,WINNER
10,-5,0,0,0,0,0,0,-5,0,0,-1,1,-1000000,0,-1,0,-1,0,0,0,0,-3,0,-1,0,0,-1,0,0,0,0,1,3,0,0,1,0,1,0,-3,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1000000,0,0,5,926,1423,1
11,-5,0,0,-9,-3,-5,-1000000,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,0,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,3,0,1,1,5,0,0,9,0,5,1000000,0,723,746,1
12,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-1000000,0,-1,-1,-9,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,-1,-1,0,0,0,1,3,0,1,0,0,9,0,0,0,0,0,1,0,5,0,0,0,0,1000000,0,1540,2076,1
13,0,0,-5,0,-1000000,0,0,-5,0,-1,0,0,-1,-1,-3,0,0,0,0,-1,0,-3,0,0,-1,0,-1,0,0,-1,0,0,-9,0,1,0,0,0,1,0,0,1,0,1,0,0,3,0,1,0,1000000,0,0,0,0,0,5,0,0,0,3,3,0,5,776,200,-1
14,0,0,0,0,-1000000,-3,0,9,0,0,0,-3,0,-1,0,0,-5,0,-3,0,-1,0,0,-1,-1,-1,0,-1,1,0,0,1,0,0,-1,3,0,0,1,0,0,0,1,0,0,0,0,5,-5,0,0,0,3,0,0,0,0,5,0,0,1000000,0,0,0,363,1178,1
15,-5,0,0,0,-1000000,-3,0,0,-1,-1,0,-3,-1,0,0,0,-3,0,-9,0,-3,-1,3,0,0,0,-1,0,0,0,0,1,0,0,1,-1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,3,0,1,0,1000000,5,0,0,9,0,5,0,0,1132,2357,1
16,-5,0,-3,-9,-5,0,-1000000,0,-1,0,0,0,0,0,-1,0,0,-1,0,-3,-1,-1,0,-1,0,3,-1,-1,0,0,0,0,1,-3,1,1,-3,0,0,3,0,1,0,0,1,0,1,0,0,3,0,0,0,1,3,1,5,0,0,9,5,0,1000000,0,2233,2304,1
17,0,0,0,-5,0,0,-1000000,-5,0,0,0,0,-3,-1,-1,0,-1,3,0,1,-9,0,0,0,0,-3,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,1,0,0,9,3,0,1,-3,0,0,0,0,0,1,0,1,0,0,5,0,5,0,0,1000000,321,1498,1
18,0,0,0,0,0,0,0,0,0,-3,0,0,0,-1000000,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,0,0,-5,0,0,0,0,0,-1,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1000000,0,0,0,1074,657,-1
19,-5,-3,0,-5,0,0,-1000000,0,-1,-1,0,0,-3,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,9,5,0,1,0,0,-1,0,-3,0,0,0,1,-9,3,0,1,0,1,1000000,0,5,0,0,3,0,0,491,1482,1
20,0,0,0,0,0,-5,-1000000,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,3,0,-1,0,-3,0,0,0,0,1,0,0,-1,0,5,3,1,0,0,0,-5,0,0,3,1000000,0,0,0,0,5,0,0,0,0,0,559,2035,1
21,0,0,0,0,-5,0,-1000000,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,-1,0,0,5,-1,0,0,0,0,0,0,0,-9,0,0,1,0,0,3,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,1000000,0,0,1345,290,-1
